X,Y,medidor,circuito,anom_s_lec,anom_c_lec,comentario,lat y,lon x,icon_url
-100.19626,25.72724,nm,LAF04145,NA,C9-CUbOpacoConLec,na,25.727239999999998,-100.196259999999995,./0.png
-100.19338,25.72727,nm,LAF04145,NA,C9-CUbOpacoConLec,ilegible,25.727270000000001,-100.193380000000005,./0.png
-100.19195,25.7233,nm,LAF04145,NA,C9-CUbOpacoConLec,ilegible med a lado 83nv51,25.723299999999998,-100.191950000000006,./0.png
-100.19146,25.72239,nm,LAF04145,NA,C9-CUbOpacoConLec,ilegible med a lado 8d359f,25.722390000000001,-100.191460000000006,./0.png
-100.19141,25.72266,nm,LAF04145,NA,C9-CUbOpacoConLec,ilegible med a lado 98y96w,25.722660000000001,-100.191410000000005,./0.png
-100.19221,25.72296,nm,LAF04145,NA,C9-CUbOpacoConLec,legible med a lado 4e07v1,25.722960000000000,-100.192210000000003,./0.png
-100.19095,25.7238,nm,LAF04145,NA,M-Modernizacion,na,25.723800000000001,-100.190950000000001,./0.png
-100.19283,25.72585,nm,LAF04145,NA,M-Modernizacion,base a ilegible,25.725850000000001,-100.192830000000001,./0.png
-100.19562,25.73065,nm,LAF04145,NA,M-Modernizacion,n�mero ilegible,25.730650000000001,-100.195620000000005,./0.png
-100.18998,25.72249,nm,LAF04145,NA,NA,nm,25.722490000000001,-100.189980000000006,./0.png
-100.19398,25.725,nm,LAF04145,S0-Casa Cerrada,NA,na,25.725000000000001,-100.193979999999996,./0.png
-100.19296,25.72672,nm,LAF04145,S0-Casa Cerrada,NA,escuela cerrada mt interior,25.726720000000000,-100.192959999999999,./0.png
-100.19627,25.72621,nm,LAF04145,S0-Casa Cerrada,NA,ilegible interior,25.726209999999998,-100.196269999999998,./0.png
-100.19607,25.72287,nm,LAF04145,S0-Casa Cerrada,NA,ilegible opaco,25.722870000000000,-100.196070000000006,./0.png
-100.19303,25.72622,nm,LAF04145,S0-Casa Cerrada,NA,interior,25.726220000000001,-100.193029999999993,./0.png
-100.19334,25.72763,nm,LAF04145,S0-Casa Cerrada,NA,interior ilegible,25.727630000000001,-100.193340000000006,./0.png
-100.19377,25.72485,nm,LAF04145,S0-Casa Cerrada,NA,interior no visible,25.724850000000000,-100.193770000000001,./0.png
-100.19614,25.72301,nm,LAF04145,S0-Casa Cerrada,NA,medidor interior,25.723009999999999,-100.196140000000000,./0.png
-100.19303,25.72555,nm,LAF04145,S3-UI ServDirecto,NA,na,25.725549999999998,-100.193029999999993,./0.png
-100.19362,25.72261,nm,LAF04145,S3-UI ServDirecto,NA,alumbrado,25.722610000000000,-100.193619999999996,./0.png
-100.19309,25.7248,nm,LAF04145,S3-UI ServDirecto,NA,casa,25.724799999999998,-100.193089999999998,./0.png
-100.19492,25.72576,nm,LAF04145,S3-UI ServDirecto,NA,casa,25.725760000000001,-100.194919999999996,./0.png
-100.19495,25.72577,nm,LAF04145,S3-UI ServDirecto,NA,taller,25.725770000000001,-100.194950000000006,./0.png
-100.19328,25.72532,nm,LAF04145,S4-NoMedidor,NA,na,25.725320000000000,-100.193280000000001,./0.png
-100.1954,25.71591,001L5V F622 14LM,LAF04145,NA,C5-SinSello,ok,25.715910000000001,-100.195400000000006,./0.png
-100.19795,25.71751,003C5B F622 13LM,LAF04145,NA,C5-SinSello,na,25.717510000000001,-100.197950000000006,./0.png
-100.20498,25.72144,003X4E F622 14LM,LAF04145,NA,C5-SinSello,na,25.721440000000001,-100.204980000000006,./0.png
-100.2011,25.72606,004L7V F622 14LM,LAF04145,NA,C5-SinSello,na,25.726060000000000,-100.201099999999997,./0.png
-100.19444,25.71595,006Y1W F122 14LN,LAF04145,NA,C5-SinSello,ok,25.715949999999999,-100.194440000000000,./0.png
-100.19602,25.72371,009FJV F622 15LM,LAF04145,NA,NA,na,25.723710000000001,-100.196020000000004,./0.png
-100.19535,25.72373,009bmb,LAF04145,NA,NA,na,25.723730000000000,-100.195350000000005,./0.png
-100.18761,25.72041,009ne7,LAF04145,NA,NA,na,25.720410000000001,-100.187610000000006,./0.png
-100.19413,25.7175,00K9U1 F12H 09KU,LAF04145,NA,NA,ok,25.717500000000001,-100.194130000000001,./0.png
-100.19742,25.7157,00a4d3,LAF04145,NA,C5-SinSello,na,25.715699999999998,-100.197419999999994,./0.png
-100.1961,25.7176,00a9h8,LAF04145,NA,NA,ok,25.717600000000001,-100.196100000000001,./0.png
-100.20467,25.72132,00f7c5,LAF04145,NA,NA,ok,25.721319999999999,-100.204669999999993,./0.png
-100.19703,25.71692,00k6u1,LAF04145,NA,C5-SinSello,na,25.716919999999998,-100.197029999999998,./0.png
-100.21217,25.72357,00p3c2,LAF04145,NA,C9-CUbOpacoConLec,cm,25.723569999999999,-100.212170000000000,./0.png
-100.20923,25.72427,00p5c2,LAF04145,NA,C9-CUbOpacoConLec,na,25.724270000000001,-100.209230000000005,./0.png
-100.20938,25.7217,00p8c3,LAF04145,NA,C5-SinSello,cm,25.721699999999998,-100.209379999999996,./0.png
-100.21125,25.72199,00p9c5,LAF04145,NA,C9-CUbOpacoConLec,sin sello,25.721990000000002,-100.211250000000007,./0.png
-100.20813,25.72144,00pb52,LAF04145,NA,NA,ok,25.721440000000001,-100.208129999999997,./0.png
-100.20161,25.72323,00pu31,LAF04145,NA,NA,ok,25.723230000000001,-100.201610000000002,./0.png
-100.19926,25.72298,00u7t4,LAF04145,NA,C9-CUbOpacoConLec,cm,25.722980000000000,-100.199259999999995,./0.png
-100.1944,25.71666,00x8a5,LAF04145,NA,C5-SinSello,ok,25.716660000000001,-100.194400000000002,./0.png
-100.19517,25.72313,00y4d1,LAF04145,NA,C5-SinSello,na,25.723130000000001,-100.195170000000005,./0.png
-100.19803,25.71953,011NE2 F122 12LH,LAF04145,NA,C5-SinSello,na,25.719529999999999,-100.198030000000003,./0.png
-100.19465,25.7267,011PUL F122 16LN,LAF04145,NA,C5-SinSello,na,25.726700000000001,-100.194649999999996,./0.png
-100.19563,25.73012,012Y2W F122 14LN,LAF04145,NA,C5-SinSello,na,25.730119999999999,-100.195629999999994,./0.png
-100.18603,25.7213,013c5b,LAF04145,NA,NA,na,25.721299999999999,-100.186030000000002,./0.png
-100.19394,25.71786,014FRW F622 15LM,LAF04145,NA,C5-SinSello,ok,25.717860000000002,-100.193939999999998,./0.png
-100.19767,25.72143,014X5E F622 14LM,LAF04145,NA,C5-SinSello,na,25.721430000000002,-100.197670000000002,./0.png
-100.19557,25.71748,014X7E F622 14LM,LAF04145,NA,NA,ok,25.717479999999998,-100.195570000000004,./0.png
-100.19384,25.71787,014ak6,LAF04145,NA,C9-CUbOpacoConLec,ok,25.717870000000001,-100.193839999999994,./0.png
-100.1883,25.72079,014k4v,LAF04145,NA,NA,na,25.720790000000001,-100.188299999999998,./0.png
-100.19009,25.72229,014x4e,LAF04145,NA,NA,na,25.722290000000001,-100.190089999999998,./0.png
-100.19681,25.71614,015X3E F622 14LM,LAF04145,NA,C5-SinSello,na,25.716139999999999,-100.196809999999999,./0.png
-100.19598,25.72689,016epe,LAF04145,NA,C5-SinSello,na,25.726890000000001,-100.195980000000006,./0.png
-100.20366,25.72049,017h2j,LAF04145,NA,NA,ok,25.720490000000002,-100.203659999999999,./0.png
-100.20948,25.72155,018dkd,LAF04145,NA,C5-SinSello,cm,25.721550000000001,-100.209479999999999,./0.png
-100.20186,25.7247,019H3G F122 13LN,LAF04145,NA,C5-SinSello,na,25.724699999999999,-100.201859999999996,./0.png
-100.19078,25.723,019frn,LAF04145,NA,NA,na,25.722999999999999,-100.190780000000004,./0.png
-100.19483,25.72356,01n1d7,LAF04145,NA,NA,na,25.723559999999999,-100.194829999999996,./0.png
-100.21095,25.72358,01p3c6,LAF04145,NA,C5-SinSello,cm,25.723579999999998,-100.210949999999997,./0.png
-100.20712,25.72008,01p4c8,LAF04145,NA,C9-CUbOpacoConLec,na,25.720079999999999,-100.207120000000003,./0.png
-100.19566,25.72817,01pb88,LAF04145,NA,NA,na,25.728169999999999,-100.195660000000004,./0.png
-100.19594,25.7237,01v94y,LAF04145,NA,C5-SinSello,na,25.723700000000001,-100.195939999999993,./0.png
-100.18717,25.72125,020ne1,LAF04145,NA,C5-SinSello,na,25.721250000000001,-100.187169999999995,./0.png
-100.19527,25.71518,021C7C F622 13LM,LAF04145,NA,C5-SinSello,ok,25.715180000000000,-100.195269999999994,./0.png
-100.20271,25.71994,022am7,LAF04145,NA,C9-CUbOpacoConLec,na,25.719940000000001,-100.202709999999996,./0.png
-100.19386,25.7226,022c8c,LAF04145,NA,NA,na,25.722600000000000,-100.193860000000001,./0.png
-100.20196,25.72098,023VP0 F122 13LN,LAF04145,NA,C5-SinSello,na,25.720980000000001,-100.201960000000000,./0.png
-100.20436,25.72015,023fry,LAF04145,NA,C5-SinSello,na,25.720150000000000,-100.204359999999994,./0.png
-100.19117,25.72374,024FTE F622 15LM,LAF04145,NA,NA,na,25.723739999999999,-100.191170000000000,./0.png
-100.19781,25.71859,024VP0 F122 13LN,LAF04145,NA,C5-SinSello,na,25.718589999999999,-100.197810000000004,./0.png
